,highlights,paraphrased_highlights
194,Correlation of in vitro autofluorescence endoscopy images with histopathologic findings in stomach cancer.,Correlation of in vitro autofluorescence endoscopy images with histopathologic findings in stomach cancer
195,Changes in cardiopulmonary parameters during upper gastrointestinal endoscopy in patients with heart disease: towards safer endoscopy.,Changes in cardiopulmonary parameters during gastrointestinal endoscopy in patients with heart disease: towards safer endoscopy
196,Nasogastric hyperalimentation through a polyethylene catheter: an alternative to central venous hyperalimentation.,Nasogastric hyperalimentation through a polyethylene catheter: an alternative to central vein hyperalimentation.
197,Changes caused by mineral water on gastrointestinal motility in patients with chronic idiopathic dyspepsia.,"In patients with chronic idiopathic dyspepsia, changes caused by mineral water on intestinal motility are observed."
198,"Atomized lidocaine as topical anesthesia for nasogastric tube placement: A randomized, double-blind, placebo-controlled trial.","A randomized, double-blind, placebo controlled trial of azocaine as topical anesthesia for nasogastric tube placement"
199,Histological estimation of the efficacy of endoscopic laser coagulation therapy for diffuse antral vascular ectasia.,Histological assessment of the efficacy of endoscopic laser coagulation therapy for diffuse antral vasculopathy.
200,Diabetes and urination disorders.,Diabetes and urination disorders.
201,Benign small bowel tumor.,It is a benign small bowel tumor.
202,A new application of counterpulsation: safer laparotomy after recent myocardial infarction.,A new application of counterpulsation : safer laparotomy after recent myocardial infarction.
203,Isoproterenol in offsetting adverse effects of vasopressin in cirrhotic patients.,Isoproterenol is considered to be an effective tool in preventing the adverse effects of vasopressin in cirrhotic patients.
204,Tumors of the small intestine.,Tumors of the small intestine.
205,Acute duodenitis and duodenal ulceration after burns. Clinical and pathological characteristics.,Acute duodenitis and duodenal ulceration after burns. Clinical and pathological characteristics.
206,Drug-induced gastropathy in elderly Taiwanese.,Drug-induced gastropathy in elderly Taiwanese.
207,Fiberoptic endoscopy. Precise definition of upper gastrointestinal disease.,Fiberoptic endoscopy: precise definition of upper gastrointestinal disease
208,Noninvasive diagnosis of Helicobacter pylori infection in older subjects: comparison of the 13C-urea breath test with serology.,Noninvasive diagnosis of Helicobacter pylori infection in older subjects: comparison of 13C-urea breath test with serology
209,Documentation of rectal examination performance in the clinical teaching unit of a university hospital.,Documentation of rectal examination performance in the Clinical Teaching Unit of a University Hospital.
210,Clinical relevance of Helicobacter pylori CagA-positive strains: gastroduodenal peptic lesions marker.,Clinical relevance of Helicobacter pylori CagA-positive strains: gastroduodenal peptic lesions marker
211,"Plasma expansion in surgical patients with high central venous pressure (CVP); the relationship of blood volume to hematocrit, CVP, pulmonary wedge pressure, and cardiorespiratory changes.","Plasma expansion in surgical patients with high central venous pressure (CVP); the relation between blood volume to hematocrit, CVP, pulmonary wedge pressure and cardiorespiratory changes."
212,Effect of indomethacin and phenylbutazone-prednisone combination of gastric mucosa: gastroscopic and histological study.,Effect of indomethacin and phenylbutazone-prednisone on gastric mucosa - gastroscopic and histological study
213,General surgery problems in patients with spinal cord injuries.,General surgery problems in patients with spinal cord injuries.
214,Isolated intraperitoneal fluid on abdominal computed tomography in children with blunt trauma.,Isolated intraperitoneal fluid on abdominal computed tomography in children with blunt trauma
215,Helicobacter pylori--is it a novel causative agent in Vitamin B12 deficiency?,Helicobacter pylori - Is it a novel cause-and-effect agent in Vitamin B12 deficiency?
216,Endoscopic polypectomy of the upper gastro-intestinal tract: results and clinical features (author's transl).,Endoscopic polypectomy of the upper gastro-intestinal tract: results and clinical features (author's translation).
217,Anesthetic implications for surgical patients with endocrine tumors.,Anesthetic implications for surgical patients with endocrine tumors.
218,Diagnostic yield and effect on clinical outcomes of push enteroscopy in suspected small-bowel bleeding.,Diagnostic yield and effect on clinical outcomes of push enteroscopy in suspected small bowel bleeding
219,Intestinal bypass in morbid obesity: long-term metabolic sequelae.,Intestinal bypass in morbid obesity: long-term metabolic sequelae
220,"1,3,5-Trialkyl-2,4,6-triiodobenzenes: novel X-ray contrast agents for gastrointestinal imaging.","1,3,5-trialkyl-2,4,6 triiodobenzenes: novel X-ray - contrast - agents for gastrointestinal imaging"
221,Etiological study and diagnosis of anemia in adults over 60 years of age.,Etiological study and diagnosis of anemia in adults over 60 years old.
222,Cisapride or metoclopramide to accelerate small bowel transit during barium follow-through examination?,Cisapride or metoclopramide to accelerate small bowel transit during barium follow-through inspection?
223,Recurrent abdominal pain in children--a retrospective study of outcome in a group referred to a pediatric gastroenterology practice.,Recurrent abdominal pain in children--a retrospective study of the outcome in a group referred to a pediatric gastroenterology practice.
224,Routine intragastric feeding following traumatic brain injury is safe and well tolerated.,Routine intragastric feeding after traumatic brain injury is safe and well tolerated.
225,What is the evidence with regard to the effectiveness of orlistat?.,What is the evidence for the effectiveness of orlistat?
226,Considerations for standardization of assessment of performance capacity in rehabilitation medicine.,Considerations for Standardization of Assessment of Performance Capability in Rehabilitation Medicine
227,Transient swallow syncope during periods of hypoxia in a 67-year-old patient after self-extubation.,"Transient swallow - syncope, after self-extubation, during periods of hypoxia in a 67-year-old patient"
228,A randomized comparison of the effects of continuous thoracic epidural analgesia and intravenous patient-controlled analgesia after posterior spinal fusion in adolescents.,A randomized comparison of the effects of continuous thoracic epidural analgesia and intravenous patient-controlled analgesia after posterior spinal fusion in adolescents
229,Application of a preoperative evaluation model in patients undergoing elective abdominal surgery.,Application of a preoperative evaluation model in patients who undergo elective abdominal surgery.
230,Pain and symptom control in terminally ill children.,Pain and symptom control in terminally ill children
231,Clinical scoring systems for determining the prognosis of gastrointestinal bleeding.,Clinical scoring systems for determining the prognosis of gastrointestinal bleeding.
232,Primary aortoduodenal fistula complicated by abdominal aortic aneurysm.,A primary aortoduodenal fistula is complicated by abdominal aortic aneurysm
233,Upper gastrointestinal bleeding in cirrhosis: clinical and endoscopic correlations.,Upper gastrointestinal bleeding in cirrhosis: clinical and endoscopic correlations.
234,Endoscopic biopsy requirements for post-treatment diagnosis of Helicobacter pylori.,Endoscopic biopsy requirement for posttreatment diagnosis of Helicobacter pylori.
235,All that scallops is not celiac disease.,All the scallops is not celiac disease.
236,Intestinal bypass operation as a treatment for obesity.,The intestinal bypass operation as treatment for obesity.
